"agency","city","cfo_file","gazette_date","seizure_date","location","offence","police_file","seized_goods","year","version"
"Victoria Police Department","Victoria","R-10075","February 3, 2022","2021-5-23","800 block of Esquimalt Road, Victoria, Victoria, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10985","1300 CAD","2021",2
"Victoria Police Department","Victoria","R-10075","February 3, 2022","2021-5-23","800 block of Esquimalt Road, Victoria, Victoria, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10985","285 CAD","2021",2
"Victoria Police Department","Victoria","R-10076","February 3, 2022","2021-5-12","900 block of Pandora Avenue, Victoria, Victoria, British Columbia","15 (Sale of cannabis) Cannabis Control and Licensing Act (B.C.), and","AC-10987","722.51 CAD","2021",2
"Abbotsford Police Department","Abbotsford","R-10077","February 3, 2022","2021-8-27","31800 block of Union Avenue, Abbotsford, Abbotsford, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10988","765 CAD","2021",2
"Abbotsford Police Department","Abbotsford","R-10077","February 3, 2022","2021-8-27","31800 block of Union Avenue, Abbotsford, Abbotsford, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10988","720 CAD","2021",2
"Vanderhoof RCMP","Vanderhoof","R-10079","February 3, 2022","2021-6-9","Douglas Street and Church Avenue, Vanderhoof, Vanderhoof, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10990","605 CAD","2021",2
"Vanderhoof RCMP","Vanderhoof","R-10079","February 3, 2022","2021-6-9","Douglas Street and Church Avenue, Vanderhoof, Vanderhoof, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10990","150 CAD","2021",2
"RCMP CFSEU","Abbotsford","R-10086","February 3, 2022","2020-11-27","Industrial Avenue and McCallum Road, Abbotsford, Abbotsford, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10996","855 CAD","2020",2
"RCMP CFSEU","Burnaby","R-10088","February 3, 2022","2021-4-13","Bryant Street and Gilley Avenue, Burnaby, Burnaby, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10997","309 CAD","2021",2
"RCMP CFSEU","Maple Ridge","R-10090","February 3, 2022","2019-9-13","Brown Avenue and 222nd Street, Maple Ridge, Maple Ridge, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11000","755 CAD","2019",2
"RCMP CFSEU","Maple Ridge","R-10090","February 3, 2022","2019-9-13","Brown Avenue and 222nd Street, Maple Ridge, Maple Ridge, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11000","5 USD","2019",2
"RCMP CFSEU","Maple Ridge","R-10091","February 3, 2022","2020-6-18","11800 block of 224th Street, Maple Ridge, Maple Ridge, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11001","500 CAD","2020",2
"RCMP CFSEU","Maple Ridge","R-10091","February 3, 2022","2020-6-18","11800 block of 224th Street, Maple Ridge, Maple Ridge, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11001","Black Apple iPhone","2020",2
"RCMP CFSEU","Surrey","R-10093","February 3, 2022","2021-2-5","Queen Mary Boulevard and Edinburgh Place, Surrey, Surrey, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11003","485 CAD","2021",2
"RCMP CFSEU","Merritt","R-10094","February 3, 2022","2020-7-31","Highway 97C and Minnie Lake, Merritt, Merritt, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11004","1830 CAD","2020",2
"RCMP CFSEU","Kelowna","R-10095","February 3, 2022","2021-8-3","Leathead Road and Highway 97, Kelowna, Kelowna, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11005","810 CAD","2021",2
"RCMP CFSEU","Kelowna","R-10095","February 3, 2022","2021-8-3","Leathead Road and Highway 97, Kelowna, Kelowna, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11005","Two cell phones","2021",2
"RCMP CFSEU","Maple Ridge","R-10096","February 3, 2022","2021-7-10","20700 block of 117th Avenue, Maple Ridge, Maple Ridge, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11006","370 CAD","2021",2
"RCMP CFSEU","Maple Ridge","R-10096","February 3, 2022","2021-7-10","20700 block of 117th Avenue, Maple Ridge, Maple Ridge, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11006","Samsung cell phone","2021",2
"RCMP CFSEU","Chilliwack","R-10098","February 3, 2022","2019-4-1","Vedder Road and Elder Avenue, Chilliwack, Chilliwack, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11008","750 CAD","2019",2
"RCMP CFSEU","Chilliwack","R-10098","February 3, 2022","2019-4-1","Vedder Road and Elder Avenue, Chilliwack, Chilliwack, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11008","Apple iPhone","2019",2
"RCMP CFSEU","Burnaby","R-10102","February 3, 2022","2018-9-19","Boundary Road and Kingsway, Burnaby, Burnaby, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11013","345 CAD","2018",2
"RCMP CFSEU","Burnaby","R-10102","February 3, 2022","2018-9-19","Boundary Road and Kingsway, Burnaby, Burnaby, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11013","ZTE cell phone","2018",2
"Prince George RCMP","Prince George","R-10105","February 3, 2022","2021-8-27","Juniper Street and 20th Avenue, Prince George, Prince George, British Columbia","5(1) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11016","1655 CAD","2021",2
"Prince George RCMP","Prince George","R-10105","February 3, 2022","2021-8-27","Juniper Street and 20th Avenue, Prince George, Prince George, British Columbia","5(1) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11016","Black Apple iPhone","2021",2
"Prince George RCMP","Prince George","R-10105","February 3, 2022","2021-8-27","Juniper Street and 20th Avenue, Prince George, Prince George, British Columbia","5(1) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11016","Alcatel cell phone","2021",2
"Burnaby RCMP","Burnaby","R-10107","February 3, 2022","2021-6-17","Willingdon Avenue and Union Street, Burnaby, Burnaby, British Columbia","5(2) (Possess  Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11018","315 CAD","2021",2
"Burnaby RCMP","Burnaby","R-10107","February 3, 2022","2021-6-17","Willingdon Avenue and Union Street, Burnaby, Burnaby, British Columbia","5(2) (Possess  Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11018","White Apple iPhone","2021",2
"Surrey RCMP","Surrey","R-10111","February 3, 2022","2020-8-26","172nd Street and 59A Avenue, Surrey, Surrey, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11021","507.45 CAD","2020",2
"RCMP CFSEU","Surrey","R-10114","February 3, 2022","2017-8-3","7400 block of 137th Avenue, Surrey, Surrey, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11024","1025 CAD","2017",2
"RCMP CFSEU","White Rock","R-10116","February 3, 2022","2020-12-19","Roper Avenue and Johnston Road, White Rock, White Rock, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11025","1730 CAD","2020",2
"Vernon North Okanagan RCMP","Vernon","R-10117","February 3, 2022","2021-3-18","19th Avenue and 33rd Street, Vernon, Vernon, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11027","525 CAD","2021",2
"Vernon North Okanagan RCMP","Vernon","R-10117","February 3, 2022","2021-3-18","19th Avenue and 33rd Street, Vernon, Vernon, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11027","950 CAD","2021",2
"RCMP CFSEU","Langley","R-10118","February 3, 2022","2021-7-28","176th Street and Fraser Highway, Langley, Langley, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11028","580 CAD","2021",2
"Vancouver Police Department","Vancouver","R-10174","February 3, 2022","2020-7-20","200 block of East Hastings Street, Vancouver, Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11087","1937.25 CAD","2020",2
"Vancouver Police Department","Vancouver","R-10174","February 3, 2022","2021-2-16","400 block of Abbott Street, Vancouver, Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11503","700 CAD","2021",2
"Vancouver Police Department","Vancouver","R-10174","February 3, 2022","2021-2-16","400 block of Abbott Street, Vancouver, Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11503","40.50 CAD","2021",2
"Prince George RCMP","Prince George","R-10200","February 3, 2022","2021-8-28","3500 block of Westwood Drive, Prince George, Prince George, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11112","1065 CAD","2021",2
"Vancouver Police Department","Vancouver","R-10475","February 3, 2022","2021-11-17","300 block of E Hastings Street, Vancouver and the 200 block of West 2nd Avenue, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11398","613.75 CAD","2021",2
"Vancouver Police Department","Vancouver","R-10475","February 3, 2022","2021-11-17","300 block of E Hastings Street, Vancouver and the 200 block of West 2nd Avenue, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11398","612.10 CAD","2021",2
"Vancouver Police Department","Vancouver","R-10475","February 3, 2022","2021-11-17","300 block of E Hastings Street, Vancouver and the 200 block of West 2nd Avenue, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11398","1.00 USD","2021",2
"Vancouver Police Department","Vancouver","R-10475","February 3, 2022","2021-11-17","300 block of E Hastings Street, Vancouver and the 200 block of West 2nd Avenue, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11398","1735 CAD","2021",2
"Burnaby RCMP","Burnaby","R-10486","February 3, 2022","2021-11-22","Neville Street and Roslyn Avenue, Burnaby, Burnaby, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-11408","569 CAD","2021",2
"RCMP CFSEU","Burnaby","R-10571","February 3, 2022","2021-11-27","Nursery Street and 6th Street, Burnaby, Burnaby, British Columbia","5(1) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11498","1150 CAD","2021",2
"RCMP CFSEU","Burnaby","R-10571","February 3, 2022","2021-11-27","Nursery Street and 6th Street, Burnaby, Burnaby, British Columbia","5(1) (Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11498","Nokicell phone","2021",2
"Vancouver Police Department","Vancouver","R-10591","February 3, 2022","2021-10-20","1900 block of Wallace Street, Vancouver, Vancouver, British Columbia","section 5(1) (Trafficking) Controlled Drugs and Substances Act of Canada and 5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11520","24830 CAD","2021",2
"Vancouver Police Department","Vancouver","R-10591","February 3, 2022","2021-10-20","1900 block of Wallace Street, Vancouver, Vancouver, British Columbia","section 5(1) (Trafficking) Controlled Drugs and Substances Act of Canada and 5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11520","35 USD","2021",2
"Vancouver Police Department","Vancouver","R-10591","February 3, 2022","2021-10-20","1900 block of Wallace Street, Vancouver, Vancouver, British Columbia","section 5(1) (Trafficking) Controlled Drugs and Substances Act of Canada and 5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-11520","45295 CAD","2021",2
"Port Alberni RCMP","Port Alberni","R-10602","February 3, 2022","2022-1-7","3600 block of 4th Avenue, Port Alberni, Port Alberni, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada. [fe3]","AC-11532","2017 NissMurano","2022",2
"RCMP CFSEU","Nanaimo","R-09582","January 27, 2022","2020-10-23","3300 block of Rock City Way, Nanaimo, Nanaimo, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10505","9390 CAD","2020",2
"Vancouver Police Department","Vancouver","R-09692","January 27, 2022","2020-2-24","8400 block of Nanaimo Street, Vancouver, Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10605","1175 CAD","2020",2
"Vancouver Police Department","Vancouver","R-09692","January 27, 2022","2020-2-24","8400 block of Nanaimo Street, Vancouver, Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10605","800 CAD","2020",2
"Vancouver Police Department","Vancouver","R-09692","January 27, 2022","2020-2-24","8400 block of Nanaimo Street, Vancouver, Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10605","41.10 CAD","2020",2
"Vancouver Police Department","Vancouver","R-09692","January 27, 2022","2020-2-24","8400 block of Nanaimo Street, Vancouver, Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10605","Apple iPhone","2020",2
"Vancouver Police Department","Vancouver","R-09692","January 27, 2022","2020-2-24","8400 block of Nanaimo Street, Vancouver, Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10605","396.30 CAD","2020",2
"Vancouver Police Department","Vancouver","R-09692","January 27, 2022","2020-2-24","8400 block of Nanaimo Street, Vancouver, Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10605","Apple iPhone","2020",2
"Chilliwack RCMP","Chilliwack","R-09727","January 27, 2022","2017-11-1","9400 block of Cook Street, Chilliwack, and the 46000 block of Second Avenue, Chilliwack, B.C., Chilliwack, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10639","596.55 CAD","2017",2
"Chilliwack RCMP","Chilliwack","R-09727","January 27, 2022","2017-11-1","9400 block of Cook Street, Chilliwack, and the 46000 block of Second Avenue, Chilliwack, B.C., Chilliwack, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10639","2330 CAD","2017",2
"Vancouver Police Department","Vancouver","R-09784","January 27, 2022","2021-4-27","1900 block of West Georgia Street, Vancouver, Vancouver, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10699","9220 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09790","January 27, 2022","2021-5-21","1100 block of Granville Street, Vancouver, the 100 block of Powell Street, Vancouver, B.C., and the 100 block of East Hastings Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10703","1550 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09790","January 27, 2022","2021-5-21","1100 block of Granville Street, Vancouver, the 100 block of Powell Street, Vancouver, B.C., and the 100 block of East Hastings Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10703","385 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09790","January 27, 2022","2021-5-21","1100 block of Granville Street, Vancouver, the 100 block of Powell Street, Vancouver, B.C., and the 100 block of East Hastings Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10703","780 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09790","January 27, 2022","2021-5-21","1100 block of Granville Street, Vancouver, the 100 block of Powell Street, Vancouver, B.C., and the 100 block of East Hastings Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10703","442.60 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09812","January 27, 2022","2020-4-23","400 block of Dunlevy Avenue, Vancouver and the 2600 Block of Commercial Drive, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10726","1035 CAD","2020",2
"Vancouver Police Department","Vancouver","R-09812","January 27, 2022","2020-4-23","400 block of Dunlevy Avenue, Vancouver and the 2600 Block of Commercial Drive, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10726","1120 CAD","2020",2
"Vancouver Police Department","Vancouver","R-09843","January 27, 2022","2019-2-6","1100 block of Hornby Street, Vancouver, Vancouver, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10751","1158.10 CAD","2019",2
"Vancouver Police Department","Vancouver","R-09843","January 27, 2022","2019-2-6","1100 block of Hornby Street, Vancouver, Vancouver, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10751","Louis Vuitton wallet","2019",2
"Vancouver Police Department","Vancouver","R-09843","January 27, 2022","2019-2-6","1100 block of Hornby Street, Vancouver, Vancouver, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10751","Chanel shoes","2019",2
"Vancouver Police Department","Vancouver","R-09843","January 27, 2022","2019-2-6","1100 block of Hornby Street, Vancouver, Vancouver, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10751","Heli-Jet vouchers","2019",2
"Vancouver Police Department","Vancouver","R-09848","January 27, 2022","2021-1-11","300 block of Princess Avenue, Vancouver, the 300 block of East Hastings Street, Vancouver, B.C., the 400 block of Dunlevy Avenue, Vancouver, B.C., and the 300 block of East Cordova Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10757","475 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09848","January 27, 2022","2021-1-11","300 block of Princess Avenue, Vancouver, the 300 block of East Hastings Street, Vancouver, B.C., the 400 block of Dunlevy Avenue, Vancouver, B.C., and the 300 block of East Cordova Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10757","350 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09848","January 27, 2022","2021-1-11","300 block of Princess Avenue, Vancouver, the 300 block of East Hastings Street, Vancouver, B.C., the 400 block of Dunlevy Avenue, Vancouver, B.C., and the 300 block of East Cordova Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10757","289.50 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09848","January 27, 2022","2021-1-11","300 block of Princess Avenue, Vancouver, the 300 block of East Hastings Street, Vancouver, B.C., the 400 block of Dunlevy Avenue, Vancouver, B.C., and the 300 block of East Cordova Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10757","404.50 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09848","January 27, 2022","2021-1-11","300 block of Princess Avenue, Vancouver, the 300 block of East Hastings Street, Vancouver, B.C., the 400 block of Dunlevy Avenue, Vancouver, B.C., and the 300 block of East Cordova Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10757","1215.25 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09848","January 27, 2022","2021-1-11","300 block of Princess Avenue, Vancouver, the 300 block of East Hastings Street, Vancouver, B.C., the 400 block of Dunlevy Avenue, Vancouver, B.C., and the 300 block of East Cordova Street, Vancouver, B.C., Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada and section 354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10757","1030 CAD","2021",2
"RCMP CFSEU","Langley","R-09849","January 27, 2022","2021-7-1","21600 block of Fraser Highway, Langley, Langley, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10756","6365 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09850","January 27, 2022","2020-6-5","1200 block of Hornby Street, Vancouver, Vancouver, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10758","3310 CAD","2020",2
"Salmon Arm RCMP","Salmon Arm","R-09881","January 27, 2022","2020-10-15","20th Street NE, Salmon Arm, Salmon Arm, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10790","2185 CAD","2020",2
"RCMP CFSEU","Burnaby","R-09896","January 27, 2022","2020-9-12","Lougheed Hwy and Boundary Road, Burnaby, Burnaby, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10804","4038 CAD","2020",2
"RCMP CFSEU","Burnaby","R-09896","January 27, 2022","2020-9-12","Lougheed Hwy and Boundary Road, Burnaby, Burnaby, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10804","Cell phone","2020",2
"Kamloops RCMP","Kamloops","R-09927","January 27, 2022","2021-6-20","1700 block of East Trans Canada Highway, Kamloops, Kamloops, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10833","5470 CAD","2021",2
"RCMP CFSEU","Surrey","R-09934","January 27, 2022","2021-4-22","96th Avenue and 128th Street, Surrey, Surrey, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10841","3920 CAD","2021",2
"RCMP CFSEU","Kelowna","R-09952","January 27, 2022","2020-9-19","Leon Street and Pandosy Street, Kelowna, Kelowna, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10858","2030 CAD","2020",2
"Surrey RCMP","Surrey","R-09955","January 27, 2022","2021-7-8","7200 block of 138th Street, Surrey, Surrey, British Columbia","5(2) (Possess Trafficking) Controlled Drugs and Substances Act of Canada.","AC-10862","6380 CAD","2021",2
"Vancouver Police Department","Vancouver","R-09976","January 27, 2022","2021-5-27","00 block of West Pender Street, Vancouver, Vancouver, British Columbia","354(1) (Possess property obtained by crime) Criminal Code of Canada.","AC-10883","4840 CAD","2021",2
